SEQ_TYPE	PRIMER	SEQ_TECH	ACC
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5669404
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4439824
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4555148
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5706186
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4665935
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5476187
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4758411
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4364218
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4869554
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4807002
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4759897
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5971761
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4807354
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4838927
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4671074
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4365157
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4209506
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5973042
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5874541
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5628519
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5494914
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4241750
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5480379
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4838188
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5504086
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4665576
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4838853
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4838497
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5471195
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4807385
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4365829
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4241049
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5303098
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4780107
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4440181
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5060986
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4665863
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5069591
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4440248
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5407779
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4666714
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4364830
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5505932
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5476834
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4242735
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5745753
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4664197
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4440485
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5746225
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5516570
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5410587
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4867882
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4839051
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4204996
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5992099
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4209192
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4667273
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4837506
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5475421
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4239609
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4209678
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4555299
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5478906
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4693957
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4364292
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4837743
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4664586
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5629052
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5631718
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4779776
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4665588
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4241367
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4364231
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4665793
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5404489
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4243092
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4243744
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4671869
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4891481
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5224118
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4867104
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4205636
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4807755
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4671655
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5078055
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4667087
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5474943
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5479801
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4665683
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4239618
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4242282
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5407564
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5071646
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4248668
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5776037
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5478780
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4694058
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5092015
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4207914
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5499573
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5288108
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5093953
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5082140
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4671322
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5989793
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5092002
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4780355
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4667128
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4569680
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5405452
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5070507
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4363323
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5070871
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4248320
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5472078
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5089550
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4671753
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5503729
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4666791
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4892949
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4868729
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5291325
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4466925
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4666984
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5496816
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4890761
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4206785
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4868800
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4247529
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4671499
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5229539
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4780404
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5480276
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4693301
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4892822
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5409892
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4666953
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5090609
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4869495
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5630142
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5511426
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5062541
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4205534
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4868546
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5746087
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4569546
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5472753
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5092934
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4569836
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4241846
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4243507
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4246779
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5225228
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4555128
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4207410
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4364026
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4867784
