ACC	AGE
SRR15314076	9
SRR15314077	36
SRR15314078	22
SRR15314079	29
SRR15314080	38
SRR15314081	26
SRR15314082	30
SRR15314083	1
SRR15314084	38
SRR15314085	23
SRR15314086	41
SRR15314087	45
SRR15314088	39
SRR15314089	26
SRR15314090	42
SRR15314091	31
SRR15314092	32
SRR15314093	27
SRR15314094	41
SRR15314095	22
SRR15314096	40
SRR15314097	58
SRR15314098	34
SRR15314099	46
SRR15314100	46
SRR15314101	24
SRR15314102	32
SRR15314103	43
SRR15314104	48
SRR15314105	42
SRR15314106	27
SRR15314107	24
SRR15314108	27
SRR15314109	1
SRR15314110	18
SRR15314111	56
SRR15314112	14
SRR15314113	12
SRR15314114	49
SRR15314115	45
SRR15314116	22
SRR15314117	28
SRR15314118	22
SRR15314119	26
SRR15314120	40
SRR15314121	23
SRR15314122	65
SRR15314123	25
SRR15314124	24
SRR15314125	45
SRR15314126	60
SRR15314127	33
SRR15314128	38
SRR15314129	37
SRR15314130	21
SRR15314131	49
SRR15314132	67
SRR15314133	25
SRR15314134	18
SRR15314135	32
SRR15314136	11
SRR15314137	4
SRR15314138	53
SRR15314139	29
SRR15314140	29
SRR15314141	33
SRR15314142	2
SRR15314143	31
SRR15314144	31
SRR15314145	14
SRR15314146	48
SRR15314147	23
SRR15314148	11
SRR15314149	38
SRR15314150	31
SRR15314151	32
SRR15314152	26
SRR15314153	9
SRR15314154	37
SRR15314155	13
SRR15314156	30
SRR15314157	24
SRR15314158	43
SRR15314159	26
SRR15314160	26
SRR15314161	22
SRR15314162	25
SRR15314163	25
SRR15314164	30
SRR15314165	53
SRR15314166	31
SRR15314167	22
SRR15314168	28
SRR15314169	42
SRR15314170	34
SRR15314171	15
SRR15314172	20
SRR15314173	50
SRR15314174	28
SRR15314175	27
SRR15314176	38
SRR15314177	48
SRR15314178	56
SRR15314179	34
SRR15314180	26
SRR15314181	22
SRR15314182	65
SRR15314183	36
SRR15314184	21
SRR15314185	11
SRR15314186	69
SRR15314187	25
SRR15314188	18
SRR15314189	25
SRR15314190	65
SRR15314191	50
SRR15314192	27
SRR15314193	18
SRR15314194	31
SRR15314195	8
SRR15314196	36
SRR15314197	46
SRR15314198	27
SRR15314199	19
SRR15314200	10
SRR15314201	20
SRR15314202	17
SRR15314203	28
SRR15314204	51
SRR15314205	75
SRR15314206	33
SRR15314207	15
SRR15314208	22
SRR15314209	56
SRR15314210	19
SRR15314211	20
SRR15314212	34
SRR15314213	16
SRR15313553	21
SRR15313554	35
SRR15313555	32
SRR15313556	43
SRR15313557	30
SRR15313558	28
SRR15313559	29
SRR15313560	47
SRR15313561	50
SRR15313562	24
SRR15313563	24
SRR15313564	23
SRR15313565	38
SRR15313566	42
SRR15313567	32
SRR15313568	25
SRR15313569	25
SRR15313570	13
SRR15313571	26
SRR15313572	30
SRR15313573	90
SRR15313574	33
SRR15313575	17
SRR15313576	30
SRR15313577	24
SRR15313578	1
SRR15313579	29
SRR15313580	24
SRR15313581	26
SRR15313582	33
SRR15313583	18
SRR15313584	24
SRR15313585	28
SRR15313586	35
SRR15313587	30
SRR15313588	37
SRR15313589	25
SRR15313590	51
SRR15313591	27
SRR15313592	39
SRR15313593	57
SRR15313594	19
SRR15313595	60
SRR15313596	39
SRR15313597	39
SRR15313598	5
SRR15313599	29
SRR15313600	21
SRR15313601	32
SRR15313602	49
SRR15313603	23
SRR15313604	45
SRR15313605	38
SRR15313606	29
SRR15313607	42
SRR15313608	45
SRR15313609	38
SRR15313610	29
SRR15313611	10
SRR15313612	23
SRR15313613	25
SRR15313614	20
SRR15313615	37
SRR15313616	36
SRR15313617	26
SRR15313618	40
SRR15313619	49
SRR15313620	22
SRR15313621	24
SRR15313622	46
SRR15313623	33
SRR15313624	23
SRR15313625	34
SRR15313626	27
SRR15313627	21
SRR15313628	61
SRR15313629	59
SRR15313630	30
SRR15313631	26
SRR15313632	72
SRR15313633	9
SRR15313634	25
SRR15313635	6
SRR15313636	24
SRR15313637	31
SRR15313638	64
SRR15313639	46
SRR15313640	16
SRR15313641	19
SRR15313642	36
SRR15313643	3
SRR15313644	25
SRR15313645	36
SRR15313646	29
SRR15313647	6
SRR15313648	24
SRR15313649	29
SRR15313650	22
SRR15313651	27
SRR15313652	10
SRR15313653	10
SRR15313654	9
SRR15313655	38
SRR15313656	24
SRR15313657	52
SRR15313658	23
SRR15313659	27
